# time  cumulative_dissipation
0.00000000e+00 0.00000000e+00
5.00000000e-03 1.06917635e-02
1.50000000e-02 3.11142270e-02
2.50000000e-02 5.06274833e-02
3.50000000e-02 6.94066917e-02
4.50000000e-02 8.75595857e-02
5.50000000e-02 1.05166944e-01
6.50000000e-02 1.22483054e-01
7.50000000e-02 1.39361588e-01
8.50000000e-02 1.55847392e-01
9.50000000e-02 1.71978861e-01
1.05000000e-01 1.87789446e-01
1.15000000e-01 2.03308733e-01
1.25000000e-01 2.18563224e-01
1.35000000e-01 2.33576912e-01
1.45000000e-01 2.48371729e-01
1.55000000e-01 2.62967892e-01
1.65000000e-01 2.77384174e-01
1.75000000e-01 2.91638087e-01
1.85000000e-01 3.05745986e-01
1.95000000e-01 3.19723084e-01
2.05000000e-01 3.33597282e-01
2.15000000e-01 3.47381003e-01
2.25000000e-01 3.61072146e-01
2.35000000e-01 3.74681574e-01
2.45000000e-01 3.88219176e-01
2.55000000e-01 4.01694553e-01
2.65000000e-01 4.15118291e-01
2.75000000e-01 4.28542082e-01
2.85000000e-01 4.41938402e-01
2.95000000e-01 4.55317854e-01
3.05000000e-01 4.68690522e-01
3.15000000e-01 4.82075354e-01
3.25000000e-01 4.95485034e-01
3.35000000e-01 5.08925724e-01
3.45000000e-01 5.22418981e-01
3.55000000e-01 5.36007506e-01
3.65000000e-01 5.49719621e-01
3.75000000e-01 5.63571111e-01
3.85000000e-01 5.77579047e-01
3.95000000e-01 5.91759094e-01
4.05000000e-01 6.06166150e-01
4.15000000e-01 6.20787741e-01
4.25000000e-01 6.35679397e-01
4.35000000e-01 6.50815163e-01
4.45000000e-01 6.66262613e-01
4.55000000e-01 6.81994926e-01
4.65000000e-01 6.98054260e-01
4.75000000e-01 7.14443320e-01
4.85000000e-01 7.31153988e-01
4.95000000e-01 7.48256356e-01
5.05000000e-01 7.65745067e-01
5.15000000e-01 7.83575986e-01
5.25000000e-01 8.01855770e-01
5.35000000e-01 8.20550676e-01
5.45000000e-01 8.39662347e-01
5.55000000e-01 8.59230527e-01
5.65000000e-01 8.79273909e-01
5.75000000e-01 8.99799388e-01
5.85000000e-01 9.20881268e-01
5.95000000e-01 9.42427217e-01
6.05000000e-01 9.64605218e-01
6.15000000e-01 9.87282270e-01
6.25000000e-01 1.01057187e+00
6.35000000e-01 1.03463691e+00
6.45000000e-01 1.05923790e+00
6.55000000e-01 1.08469243e+00
6.65000000e-01 1.11057319e+00
6.75000000e-01 1.13746643e+00
6.85000000e-01 1.16522008e+00
6.95000000e-01 1.19393260e+00
7.05000000e-01 1.22379006e+00
7.15000000e-01 1.25461708e+00
7.25000000e-01 1.28703531e+00
7.35000000e-01 1.32141862e+00
7.45000000e-01 1.35847713e+00
7.55000000e-01 1.39944986e+00
7.65000000e-01 1.44527842e+00
7.75000000e-01 1.49859779e+00
7.85000000e-01 1.56170768e+00
7.95000000e-01 1.63847371e+00
8.05000000e-01 1.73124639e+00
8.15000000e-01 1.84596745e+00
8.25000000e-01 1.98752699e+00
8.35000000e-01 2.16349966e+00
8.45000000e-01 2.37886973e+00
8.55000000e-01 2.64931830e+00
8.65000000e-01 2.98373781e+00
8.75000000e-01 3.40239869e+00
8.85000000e-01 3.91801527e+00
8.95000000e-01 4.55145645e+00
9.05000000e-01 5.33342671e+00
9.15000000e-01 6.30135815e+00
9.25000000e-01 7.48796699e+00
9.35000000e-01 8.97308166e+00
9.45000000e-01 1.09007893e+01
9.55000000e-01 1.34464272e+01
9.65000000e-01 1.72293990e+01
9.75000000e-01 2.31577883e+01
9.85000000e-01 3.52288877e+01
9.95000000e-01 6.28844802e+01
