# time  G0_ode  DG_ode  PDE_offset  PDE_gradient
0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
5.00000000e-03 2.36662563e+01 5.28767291e+01 2.36662563e+01 2.64825021e+01
1.50000000e-02 2.35852166e+01 5.39443189e+01 2.33928874e+01 2.69272806e+01
2.50000000e-02 2.31928812e+01 5.44052873e+01 2.27896697e+01 2.71573814e+01
3.50000000e-02 2.26999618e+01 5.48416038e+01 2.20484890e+01 2.73751766e+01
4.50000000e-02 2.18597903e+01 5.51891181e+01 2.08382754e+01 2.75486447e+01
5.50000000e-02 2.07936289e+01 5.54372137e+01 1.93185378e+01 2.76724860e+01
6.50000000e-02 1.99935970e+01 5.67502751e+01 1.79476295e+01 2.81406323e+01
7.50000000e-02 1.83742414e+01 5.66410850e+01 1.56684367e+01 2.80864885e+01
8.50000000e-02 1.70727066e+01 5.65658364e+01 1.38152249e+01 2.80491751e+01
9.50000000e-02 1.56336602e+01 5.63333050e+01 1.17773921e+01 2.79338702e+01
1.05000000e-01 1.45309062e+01 5.62104968e+01 1.01942468e+01 2.78729736e+01
1.15000000e-01 1.34552949e+01 5.60478520e+01 8.65057188e+00 2.77923233e+01
1.25000000e-01 1.24331499e+01 5.58684761e+01 7.18244149e+00 2.77033766e+01
1.35000000e-01 1.16528195e+01 5.58251870e+01 6.03954722e+00 2.76819109e+01
1.45000000e-01 1.09501352e+01 5.58176439e+01 5.00193987e+00 2.76781705e+01
1.55000000e-01 1.03506060e+01 5.58766027e+01 4.10221278e+00 2.77074063e+01
1.65000000e-01 9.69222571e+00 5.56726365e+01 3.17934632e+00 2.76519718e+01
1.75000000e-01 9.21976136e+00 5.56243330e+01 2.50068322e+00 2.76737975e+01
1.85000000e-01 9.26100766e+00 5.72326090e+01 2.17329135e+00 2.82397742e+01
1.95000000e-01 9.22249099e+00 5.85833080e+01 1.78450520e+00 2.87173078e+01
2.05000000e-01 9.25368862e+00 6.02078766e+01 1.41954040e+00 2.92744943e+01
2.15000000e-01 9.20867820e+00 6.15728122e+01 1.00132542e+00 2.97453199e+01
2.25000000e-01 9.17401913e+00 6.29567249e+01 5.86466149e-01 3.02192279e+01
2.35000000e-01 9.24142457e+00 6.48260938e+01 1.70697246e-01 3.08206468e+01
2.45000000e-01 9.64486361e+00 6.74332442e+01 3.44287409e-02 3.16588001e+01
