# time  X(t)
0.00000000e+00 3.23571581e-17
5.00000000e-03 3.50295155e-03
1.50000000e-02 1.09087516e-02
2.50000000e-02 1.90592189e-02
3.50000000e-02 2.96437489e-02
4.50000000e-02 4.52140173e-02
5.50000000e-02 6.20178518e-02
6.50000000e-02 8.46745344e-02
7.50000000e-02 1.06295852e-01
8.50000000e-02 1.27819086e-01
9.50000000e-02 1.45949510e-01
1.05000000e-01 1.65529043e-01
1.15000000e-01 1.80669334e-01
1.25000000e-01 1.96206666e-01
1.35000000e-01 2.09390546e-01
1.45000000e-01 2.21222182e-01
1.55000000e-01 2.30358037e-01
1.65000000e-01 2.38255456e-01
1.75000000e-01 2.46431171e-01
1.85000000e-01 2.55305333e-01
1.95000000e-01 2.63859976e-01
2.05000000e-01 2.71840810e-01
2.15000000e-01 2.80094147e-01
2.25000000e-01 2.89419482e-01
2.35000000e-01 2.98612647e-01
2.45000000e-01 3.07279666e-01
