# time  R_moment(t)
0.00000000e+00 2.01399352e+00
5.00000000e-03 2.00375638e+00
1.50000000e-02 1.98326917e+00
2.50000000e-02 1.96374395e+00
3.50000000e-02 1.95280833e+00
4.50000000e-02 1.97083626e+00
5.50000000e-02 2.00391865e+00
6.50000000e-02 2.06125766e+00
7.50000000e-02 2.12428255e+00
8.50000000e-02 2.19101716e+00
9.50000000e-02 2.25069329e+00
1.05000000e-01 2.31770346e+00
1.15000000e-01 2.36821140e+00
1.25000000e-01 2.42214759e+00
1.35000000e-01 2.46605802e+00
1.45000000e-01 2.50454786e+00
1.55000000e-01 2.53133424e+00
1.65000000e-01 2.55328201e+00
1.75000000e-01 2.57678264e+00
1.85000000e-01 2.60290450e+00
1.95000000e-01 2.62778101e+00
2.05000000e-01 2.65020554e+00
2.15000000e-01 2.67365289e+00
2.25000000e-01 2.70299857e+00
2.35000000e-01 2.73137326e+00
2.45000000e-01 2.75732320e+00
