# time  cumulative_dissipation
0.00000000e+00 0.00000000e+00
5.00000000e-03 9.36208070e-02
1.50000000e-02 3.18718626e-01
2.50000000e-02 6.73949883e-01
3.50000000e-02 1.29222256e+00
4.50000000e-02 1.94548167e+00
5.50000000e-02 3.67708610e+00
6.50000000e-02 2.19572943e+01
7.50000000e-02 1.51369934e+02
8.50000000e-02 5.44926716e+02
9.50000000e-02 1.17275877e+03
1.05000000e-01 1.95600210e+03
1.15000000e-01 2.93787195e+03
1.25000000e-01 4.50432695e+03
1.35000000e-01 6.87424273e+03
1.45000000e-01 1.04118608e+04
1.55000000e-01 1.53828092e+04
1.65000000e-01 2.26000869e+04
1.75000000e-01 3.39390435e+04
1.85000000e-01 5.81223781e+04
1.95000000e-01 1.16860527e+05
2.05000000e-01 2.54605617e+05
2.15000000e-01 5.49819904e+05
2.25000000e-01 1.15445707e+06
2.35000000e-01 2.34115974e+06
2.45000000e-01 4.32573013e+06
