# time  R_moment(t)
0.00000000e+00 2.01399352e+00
5.00000000e-03 2.01434472e+00
1.50000000e-02 2.01507341e+00
2.50000000e-02 2.01649166e+00
3.50000000e-02 2.01860840e+00
4.50000000e-02 2.02142925e+00
5.50000000e-02 2.02558905e+00
6.50000000e-02 2.02970098e+00
7.50000000e-02 2.03453675e+00
8.50000000e-02 2.04007504e+00
9.50000000e-02 2.04628802e+00
1.05000000e-01 2.05313942e+00
1.15000000e-01 2.06058613e+00
1.25000000e-01 2.06858009e+00
1.35000000e-01 2.07707023e+00
1.45000000e-01 2.08600423e+00
1.55000000e-01 2.09533007e+00
1.65000000e-01 2.10499718e+00
1.75000000e-01 2.11495732e+00
1.85000000e-01 2.12516513e+00
1.95000000e-01 2.13575023e+00
2.05000000e-01 2.14633803e+00
2.15000000e-01 2.15706683e+00
2.25000000e-01 2.16790205e+00
2.35000000e-01 2.17881305e+00
2.45000000e-01 2.18977244e+00
2.55000000e-01 2.20075565e+00
2.65000000e-01 2.21174057e+00
2.75000000e-01 2.22319181e+00
2.85000000e-01 2.23418077e+00
2.95000000e-01 2.24514037e+00
3.05000000e-01 2.25604808e+00
3.15000000e-01 2.26688642e+00
3.25000000e-01 2.27782367e+00
3.35000000e-01 2.28850173e+00
3.45000000e-01 2.29908479e+00
3.55000000e-01 2.30955463e+00
3.65000000e-01 2.32006000e+00
3.75000000e-01 2.33031124e+00
3.85000000e-01 2.34085977e+00
3.95000000e-01 2.35071799e+00
4.05000000e-01 2.36064370e+00
4.15000000e-01 2.37047572e+00
4.25000000e-01 2.38035015e+00
4.35000000e-01 2.39018415e+00
4.45000000e-01 2.39997719e+00
4.55000000e-01 2.40991563e+00
4.65000000e-01 2.41985209e+00
4.75000000e-01 2.43041320e+00
4.85000000e-01 2.44078731e+00
4.95000000e-01 2.45118117e+00
5.05000000e-01 2.46175542e+00
5.15000000e-01 2.47258042e+00
5.25000000e-01 2.48343397e+00
5.35000000e-01 2.49434652e+00
5.45000000e-01 2.50550503e+00
5.55000000e-01 2.51718961e+00
5.65000000e-01 2.52857972e+00
5.75000000e-01 2.54016912e+00
5.85000000e-01 2.55213867e+00
5.95000000e-01 2.56395942e+00
6.05000000e-01 2.57599661e+00
6.15000000e-01 2.58804722e+00
6.25000000e-01 2.60082617e+00
6.35000000e-01 2.61339490e+00
6.45000000e-01 2.62600502e+00
6.55000000e-01 2.63910423e+00
6.65000000e-01 2.65214902e+00
6.75000000e-01 2.66538691e+00
6.85000000e-01 2.67871499e+00
6.95000000e-01 2.69271859e+00
7.05000000e-01 2.70665564e+00
7.15000000e-01 2.72067417e+00
7.25000000e-01 2.73509153e+00
7.35000000e-01 2.74966500e+00
7.45000000e-01 2.76432269e+00
7.55000000e-01 2.77978444e+00
7.65000000e-01 2.79528873e+00
7.75000000e-01 2.81110547e+00
7.85000000e-01 2.82728120e+00
7.95000000e-01 2.84370261e+00
8.05000000e-01 2.86098143e+00
8.15000000e-01 2.87753126e+00
8.25000000e-01 2.89366716e+00
8.35000000e-01 2.90949308e+00
8.45000000e-01 2.92490039e+00
8.55000000e-01 2.94005924e+00
8.65000000e-01 2.95549380e+00
8.75000000e-01 2.97071751e+00
8.85000000e-01 2.98575146e+00
8.95000000e-01 3.00041423e+00
9.05000000e-01 3.01536031e+00
9.15000000e-01 3.02992477e+00
9.25000000e-01 3.04530709e+00
9.35000000e-01 3.06120333e+00
9.45000000e-01 3.07692824e+00
9.55000000e-01 3.09263635e+00
9.65000000e-01 3.11063739e+00
9.75000000e-01 3.12702084e+00
9.85000000e-01 3.14354653e+00
