# time  G0_ode  DG_ode  PDE_offset  PDE_gradient
0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
5.00000000e-03 -2.22268897e-01 3.64518300e+01 -2.22268897e-01 1.82563422e+01
1.50000000e-02 -3.26346155e-01 3.68855993e+01 -4.14430177e-01 1.84121128e+01
2.50000000e-02 -5.30768479e-01 3.69518255e+01 -7.07575462e-01 1.84451708e+01
3.50000000e-02 -7.37629027e-01 3.70174221e+01 -1.00358154e+00 1.84779145e+01
4.50000000e-02 -9.47173664e-01 3.70821044e+01 -1.30276535e+00 1.85102019e+01
5.50000000e-02 -1.15957142e+00 3.71456997e+01 -1.60533062e+00 1.85419466e+01
6.50000000e-02 -1.17907517e+00 3.79516879e+01 -1.72316155e+00 1.88190188e+01
7.50000000e-02 -1.40123402e+00 3.80090055e+01 -2.03892316e+00 1.88474407e+01
8.50000000e-02 -1.62642698e+00 3.80650822e+01 -2.35818410e+00 1.88752474e+01
9.50000000e-02 -1.85454935e+00 3.81202221e+01 -2.68075265e+00 1.89025895e+01
1.05000000e-01 -2.08545198e+00 3.81748341e+01 -3.00637606e+00 1.89296698e+01
1.15000000e-01 -2.31895908e+00 3.82294082e+01 -3.33476678e+00 1.89567313e+01
1.25000000e-01 -2.55488452e+00 3.82844916e+01 -3.66562613e+00 1.89840454e+01
1.35000000e-01 -2.79304589e+00 3.83406667e+01 -3.99866457e+00 1.90119008e+01
1.45000000e-01 -3.03327569e+00 3.83985313e+01 -4.33361757e+00 1.90405940e+01
1.55000000e-01 -3.27542946e+00 3.84586841e+01 -4.67025687e+00 1.90704219e+01
1.65000000e-01 -3.51939115e+00 3.85217132e+01 -5.00839778e+00 1.91016760e+01
1.75000000e-01 -3.76507606e+00 3.85881882e+01 -5.34790283e+00 1.91346388e+01
1.85000000e-01 -4.01243198e+00 3.86586563e+01 -5.68868289e+00 1.91695816e+01
1.95000000e-01 -4.21131593e+00 3.89279815e+01 -5.98571267e+00 1.92712780e+01
2.05000000e-01 -4.46294115e+00 3.90066586e+01 -6.33051851e+00 1.93102270e+01
2.15000000e-01 -4.71623793e+00 3.90908383e+01 -6.67655932e+00 1.93519001e+01
2.25000000e-01 -4.97126865e+00 3.91809884e+01 -7.02391313e+00 1.93965289e+01
2.35000000e-01 -5.22812263e+00 3.92775565e+01 -7.37269612e+00 1.94443349e+01
2.45000000e-01 -5.48691307e+00 3.93809752e+01 -7.72305794e+00 1.94955323e+01
2.55000000e-01 -5.74777532e+00 3.94916655e+01 -8.07517901e+00 1.95503295e+01
2.65000000e-01 -6.01086511e+00 3.96100406e+01 -8.42926766e+00 1.96089310e+01
2.75000000e-01 -6.12562506e+00 4.03288738e+01 -8.65852276e+00 1.98664403e+01
2.85000000e-01 -6.39620478e+00 4.04598890e+01 -9.02142110e+00 1.99309798e+01
2.95000000e-01 -6.66941293e+00 4.06000777e+01 -9.38681332e+00 2.00000383e+01
3.05000000e-01 -6.94547416e+00 4.07498752e+01 -9.75500254e+00 2.00738302e+01
3.15000000e-01 -7.22462686e+00 4.09097322e+01 -1.01263098e+01 2.01525774e+01
3.25000000e-01 -7.50712545e+00 4.10801123e+01 -1.05010770e+01 2.02365085e+01
3.35000000e-01 -7.74014407e+00 4.14664194e+01 -1.08361087e+01 2.03933210e+01
3.45000000e-01 -8.03082081e+00 4.16582257e+01 -1.12200793e+01 2.04876520e+01
3.55000000e-01 -8.32561880e+00 4.18622269e+01 -1.16085485e+01 2.05879805e+01
3.65000000e-01 -8.52084014e+00 4.24809245e+01 -1.19204385e+01 2.08239826e+01
3.75000000e-01 -8.82632976e+00 4.27079816e+01 -1.23217271e+01 2.09352851e+01
3.85000000e-01 -9.02022644e+00 4.33781946e+01 -1.26340999e+01 2.11945576e+01
3.95000000e-01 -9.33733060e+00 4.36318891e+01 -1.30495357e+01 2.13185126e+01
4.05000000e-01 -9.82305314e+00 4.32847020e+01 -1.35968616e+01 2.12527178e+01
4.15000000e-01 -1.01508993e+01 4.35725900e+01 -1.40236288e+01 2.13940704e+01
4.25000000e-01 -1.04317198e+01 4.40844408e+01 -1.44177527e+01 2.16100200e+01
4.35000000e-01 -1.06010915e+01 4.50462267e+01 -1.47289308e+01 2.19737691e+01
4.45000000e-01 -1.08950939e+01 4.55908666e+01 -1.51421630e+01 2.22033441e+01
4.55000000e-01 -1.11352609e+01 4.63680353e+01 -1.55185305e+01 2.25087550e+01
4.65000000e-01 -1.14463291e+01 4.69436009e+01 -1.59551214e+01 2.27513413e+01
4.75000000e-01 -1.15531032e+01 4.82295323e+01 -1.62341047e+01 2.32244939e+01
4.85000000e-01 -1.18815564e+01 4.88364180e+01 -1.66962196e+01 2.34790471e+01
4.95000000e-01 -1.21470086e+01 4.96853096e+01 -1.71148153e+01 2.38108513e+01
5.05000000e-01 -1.24973047e+01 5.03252476e+01 -1.76064996e+01 2.40790658e+01
5.15000000e-01 -1.26922621e+01 5.14656034e+01 -1.79795903e+01 2.45074302e+01
5.25000000e-01 -1.28895195e+01 5.26222085e+01 -1.83615243e+01 2.49394353e+01
5.35000000e-01 -1.32725312e+01 5.33185368e+01 -1.89002753e+01 2.52295916e+01
5.45000000e-01 -1.35742281e+01 5.42828291e+01 -1.93802598e+01 2.56051080e+01
5.55000000e-01 -1.37729739e+01 5.55566422e+01 -1.97809034e+01 2.60829306e+01
5.65000000e-01 -1.40897530e+01 5.65692153e+01 -2.02885844e+01 2.64754518e+01
5.75000000e-01 -1.43005355e+01 5.78730034e+01 -2.07161933e+01 2.69594736e+01
5.85000000e-01 -1.47502991e+01 5.86853085e+01 -2.13501298e+01 2.72954923e+01
5.95000000e-01 -1.49663225e+01 6.00704278e+01 -2.17976471e+01 2.78103832e+01
6.05000000e-01 -1.54487303e+01 6.09408724e+01 -2.24775377e+01 2.81698948e+01
6.15000000e-01 -1.56782817e+01 6.23880696e+01 -2.29550861e+01 2.87061670e+01
6.25000000e-01 -1.57422458e+01 6.42079339e+01 -2.32993413e+01 2.93633844e+01
6.35000000e-01 -1.62742418e+01 6.51737347e+01 -2.40530733e+01 2.97596962e+01
6.45000000e-01 -1.65029386e+01 6.67523647e+01 -2.45592730e+01 3.03419840e+01
6.55000000e-01 -1.69034186e+01 6.80895421e+01 -2.52237977e+01 3.08562880e+01
6.65000000e-01 -1.73128345e+01 6.94990044e+01 -2.59081791e+01 3.14001526e+01
6.75000000e-01 -1.75477382e+01 7.12362916e+01 -2.64547979e+01 3.20403111e+01
6.85000000e-01 -1.79885112e+01 7.27155902e+01 -2.71935582e+01 3.26078880e+01
6.95000000e-01 -1.77549357e+01 7.52825413e+01 -2.73559724e+01 3.35085495e+01
7.05000000e-01 -1.84394277e+01 7.65583336e+01 -2.83383894e+01 3.40259260e+01
7.15000000e-01 -1.89152519e+01 7.82174676e+01 -2.91543392e+01 3.46606208e+01
7.25000000e-01 -1.88592131e+01 8.06726458e+01 -2.95168027e+01 3.55386105e+01
7.35000000e-01 -1.96372403e+01 8.21455441e+01 -3.06382795e+01 3.61344036e+01
7.45000000e-01 -1.98589806e+01 8.43927535e+01 -3.12844809e+01 3.69603300e+01
7.55000000e-01 -1.97165238e+01 8.71867698e+01 -3.16262982e+01 3.79623091e+01
7.65000000e-01 -1.98873984e+01 8.96217747e+01 -3.22668712e+01 3.88533705e+01
7.75000000e-01 -2.08083886e+01 9.14087658e+01 -3.36112499e+01 3.95708943e+01
7.85000000e-01 -2.09832447e+01 9.41191941e+01 -3.43099838e+01 4.05686182e+01
7.95000000e-01 -2.11403477e+01 9.69272324e+01 -3.50189159e+01 4.15996706e+01
8.05000000e-01 -2.22229082e+01 9.90623373e+01 -3.66069074e+01 4.24552874e+01
8.15000000e-01 -2.13393544e+01 1.00000000e+02 -3.59754305e+01 4.25531915e+01
8.25000000e-01 -2.19292092e+01 1.00000000e+02 -3.67423578e+01 4.24328147e+01
8.35000000e-01 -2.19186540e+01 1.00000000e+02 -3.68797827e+01 4.22535211e+01
8.45000000e-01 -2.11362504e+01 1.00000000e+02 -3.62161234e+01 4.20168067e+01
8.55000000e-01 -2.08770151e+01 1.00000000e+02 -3.60963221e+01 4.18410042e+01
8.65000000e-01 -2.04612303e+01 1.00000000e+02 -3.58070586e+01 4.16666667e+01
8.75000000e-01 -1.99136340e+01 1.00000000e+02 -3.53933655e+01 4.14937759e+01
8.85000000e-01 -2.01882571e+01 1.00000000e+02 -3.58216802e+01 4.13793103e+01
8.95000000e-01 -1.81479211e+01 1.00000000e+02 -3.38836800e+01 4.11522634e+01
9.05000000e-01 -1.93797328e+01 1.00000000e+02 -3.52836841e+01 4.10958904e+01
9.15000000e-01 -1.79528830e+01 1.00000000e+02 -3.39797629e+01 4.09276944e+01
