# time  X(t)
0.00000000e+00 3.23571581e-17
5.00000000e-03 2.38338102e-03
1.50000000e-02 7.18438595e-03
2.50000000e-02 1.19882214e-02
3.50000000e-02 1.68003339e-02
4.50000000e-02 2.16239614e-02
5.50000000e-02 2.64557860e-02
6.50000000e-02 3.13712782e-02
7.50000000e-02 3.63000334e-02
8.50000000e-02 4.12377875e-02
9.50000000e-02 4.61793940e-02
1.05000000e-01 5.11187826e-02
1.15000000e-01 5.60493541e-02
1.25000000e-01 6.09643376e-02
1.35000000e-01 6.58570861e-02
1.45000000e-01 7.07213025e-02
1.55000000e-01 7.55511950e-02
1.65000000e-01 8.03415713e-02
1.75000000e-01 8.50878824e-02
1.85000000e-01 8.97862290e-02
1.95000000e-01 9.44012634e-02
2.05000000e-01 9.90136055e-02
2.15000000e-01 1.03569297e-01
2.25000000e-01 1.08066625e-01
2.35000000e-01 1.12504257e-01
2.45000000e-01 1.16881238e-01
2.55000000e-01 1.21196938e-01
2.65000000e-01 1.25451001e-01
2.75000000e-01 1.29613669e-01
2.85000000e-01 1.33800589e-01
2.95000000e-01 1.37922774e-01
3.05000000e-01 1.41980702e-01
3.15000000e-01 1.45974781e-01
3.25000000e-01 1.49861543e-01
3.35000000e-01 1.53748033e-01
3.45000000e-01 1.57570851e-01
3.55000000e-01 1.61330612e-01
3.65000000e-01 1.65115670e-01
3.75000000e-01 1.68792518e-01
3.85000000e-01 1.72327687e-01
3.95000000e-01 1.75821231e-01
4.05000000e-01 1.79300301e-01
4.15000000e-01 1.82750386e-01
4.25000000e-01 1.86092832e-01
4.35000000e-01 1.89557404e-01
4.45000000e-01 1.92975764e-01
4.55000000e-01 1.96446023e-01
4.65000000e-01 1.99880161e-01
4.75000000e-01 2.03294395e-01
4.85000000e-01 2.06868784e-01
4.95000000e-01 2.10421195e-01
5.05000000e-01 2.14012283e-01
5.15000000e-01 2.17556722e-01
5.25000000e-01 2.21227794e-01
5.35000000e-01 2.24871014e-01
5.45000000e-01 2.28608385e-01
5.55000000e-01 2.32259792e-01
5.65000000e-01 2.36032784e-01
5.75000000e-01 2.39874592e-01
5.85000000e-01 2.43704777e-01
5.95000000e-01 2.47590616e-01
6.05000000e-01 2.51520483e-01
6.15000000e-01 2.55443169e-01
6.25000000e-01 2.59385424e-01
6.35000000e-01 2.63468328e-01
6.45000000e-01 2.67545363e-01
6.55000000e-01 2.71671999e-01
6.65000000e-01 2.75882028e-01
6.75000000e-01 2.80163452e-01
6.85000000e-01 2.84441651e-01
6.95000000e-01 2.88715169e-01
7.05000000e-01 2.93184790e-01
7.15000000e-01 2.97649887e-01
7.25000000e-01 3.02155307e-01
7.35000000e-01 3.06792871e-01
7.45000000e-01 3.11446333e-01
7.55000000e-01 3.16132678e-01
7.65000000e-01 3.21072635e-01
7.75000000e-01 3.26060015e-01
7.85000000e-01 3.31027683e-01
7.95000000e-01 3.36217748e-01
8.05000000e-01 3.41349537e-01
8.15000000e-01 3.46584063e-01
8.25000000e-01 3.51596343e-01
8.35000000e-01 3.56441254e-01
8.45000000e-01 3.61312329e-01
8.55000000e-01 3.66088126e-01
8.65000000e-01 3.70682636e-01
8.75000000e-01 3.75469315e-01
8.85000000e-01 3.80130234e-01
8.95000000e-01 3.84692925e-01
9.05000000e-01 3.89319701e-01
9.15000000e-01 3.93934508e-01
9.25000000e-01 3.98567764e-01
9.35000000e-01 4.03419075e-01
9.45000000e-01 4.08236429e-01
9.55000000e-01 4.12950332e-01
9.65000000e-01 4.18286942e-01
9.75000000e-01 4.22968668e-01
9.85000000e-01 4.28012698e-01
