# time  R_support(t)
0.00000000e+00 1.99666667e+00
5.00000000e-03 2.00333333e+00
1.50000000e-02 2.00333333e+00
2.50000000e-02 2.00333333e+00
3.50000000e-02 2.00333333e+00
4.50000000e-02 2.00333333e+00
5.50000000e-02 2.01666667e+00
6.50000000e-02 2.01666667e+00
7.50000000e-02 2.01666667e+00
8.50000000e-02 2.01666667e+00
9.50000000e-02 2.01666667e+00
1.05000000e-01 2.01666667e+00
1.15000000e-01 2.01666667e+00
1.25000000e-01 2.01666667e+00
1.35000000e-01 2.01666667e+00
1.45000000e-01 2.01666667e+00
1.55000000e-01 2.01666667e+00
1.65000000e-01 2.01666667e+00
1.75000000e-01 2.01666667e+00
1.85000000e-01 2.01666667e+00
1.95000000e-01 2.02000000e+00
2.05000000e-01 2.02000000e+00
2.15000000e-01 2.02000000e+00
2.25000000e-01 2.02000000e+00
2.35000000e-01 2.02000000e+00
2.45000000e-01 2.02000000e+00
2.55000000e-01 2.02000000e+00
2.65000000e-01 2.02000000e+00
2.75000000e-01 2.03000000e+00
2.85000000e-01 2.03000000e+00
2.95000000e-01 2.03000000e+00
3.05000000e-01 2.03000000e+00
3.15000000e-01 2.03000000e+00
3.25000000e-01 2.03333333e+00
3.35000000e-01 2.03333333e+00
3.45000000e-01 2.03333333e+00
3.55000000e-01 2.03333333e+00
3.65000000e-01 2.04000000e+00
3.75000000e-01 2.04000000e+00
3.85000000e-01 2.04666667e+00
3.95000000e-01 2.03666667e+00
4.05000000e-01 2.03666667e+00
4.15000000e-01 2.04000000e+00
4.25000000e-01 2.04333333e+00
4.35000000e-01 2.05000000e+00
4.45000000e-01 2.05333333e+00
4.55000000e-01 2.06000000e+00
4.65000000e-01 2.06333333e+00
4.75000000e-01 2.07666667e+00
4.85000000e-01 2.08666667e+00
4.95000000e-01 2.09000000e+00
5.05000000e-01 2.09666667e+00
5.15000000e-01 2.10333333e+00
5.25000000e-01 2.11000000e+00
5.35000000e-01 2.11333333e+00
5.45000000e-01 2.12333333e+00
5.55000000e-01 2.13666667e+00
5.65000000e-01 2.14000000e+00
5.75000000e-01 2.14666667e+00
5.85000000e-01 2.16000000e+00
5.95000000e-01 2.16333333e+00
6.05000000e-01 2.17000000e+00
6.15000000e-01 2.17333333e+00
6.25000000e-01 2.19000000e+00
6.35000000e-01 2.19666667e+00
6.45000000e-01 2.20000000e+00
6.55000000e-01 2.21333333e+00
6.65000000e-01 2.22000000e+00
6.75000000e-01 2.23000000e+00
6.85000000e-01 2.23333333e+00
6.95000000e-01 2.24666667e+00
7.05000000e-01 2.25666667e+00
7.15000000e-01 2.26000000e+00
7.25000000e-01 2.27000000e+00
7.35000000e-01 2.28000000e+00
7.45000000e-01 2.28333333e+00
7.55000000e-01 2.30000000e+00
7.65000000e-01 2.30666667e+00
7.75000000e-01 2.31666667e+00
7.85000000e-01 2.32333333e+00
7.95000000e-01 2.33333333e+00
8.05000000e-01 2.34666667e+00
8.15000000e-01 2.35666667e+00
8.25000000e-01 2.36000000e+00
8.35000000e-01 2.37333333e+00
8.45000000e-01 2.38333333e+00
8.55000000e-01 2.39000000e+00
8.65000000e-01 2.40666667e+00
8.75000000e-01 2.41666667e+00
8.85000000e-01 2.42000000e+00
8.95000000e-01 2.43333333e+00
9.05000000e-01 2.44000000e+00
9.15000000e-01 2.45000000e+00
9.25000000e-01 2.46000000e+00
9.35000000e-01 2.46666667e+00
9.45000000e-01 2.47000000e+00
9.55000000e-01 2.48000000e+00
9.65000000e-01 2.48333333e+00
9.75000000e-01 2.48333333e+00
9.85000000e-01 2.50000000e+00
