# time  X(t)
0.00000000e+00 3.23571581e-17
5.00000000e-03 3.24266585e-03
1.50000000e-02 9.93494262e-03
2.50000000e-02 1.68899060e-02
3.50000000e-02 2.42218522e-02
4.50000000e-02 3.20969548e-02
5.50000000e-02 4.06527207e-02
6.50000000e-02 5.01237794e-02
7.50000000e-02 6.02306764e-02
8.50000000e-02 7.09163389e-02
9.50000000e-02 8.22014914e-02
1.05000000e-01 9.41258033e-02
1.15000000e-01 1.06633111e-01
1.25000000e-01 1.19472621e-01
1.35000000e-01 1.32240745e-01
1.45000000e-01 1.44562111e-01
1.55000000e-01 1.56215186e-01
1.65000000e-01 1.67120994e-01
1.75000000e-01 1.77280293e-01
1.85000000e-01 1.86725824e-01
1.95000000e-01 1.95498077e-01
2.05000000e-01 2.03588964e-01
2.15000000e-01 2.11200424e-01
2.25000000e-01 2.18240934e-01
2.35000000e-01 2.24784493e-01
2.45000000e-01 2.30655161e-01
2.55000000e-01 2.36380178e-01
2.65000000e-01 2.42200318e-01
2.75000000e-01 2.48073244e-01
2.85000000e-01 2.53958369e-01
2.95000000e-01 2.59937483e-01
3.05000000e-01 2.66068031e-01
3.15000000e-01 2.72237725e-01
3.25000000e-01 2.78569805e-01
3.35000000e-01 2.84895631e-01
3.45000000e-01 2.91222119e-01
3.55000000e-01 2.97538365e-01
3.65000000e-01 3.03909250e-01
3.75000000e-01 3.10507026e-01
3.85000000e-01 3.17370898e-01
3.95000000e-01 3.24156032e-01
4.05000000e-01 3.30988939e-01
4.15000000e-01 3.38239059e-01
4.25000000e-01 3.45598569e-01
4.35000000e-01 3.52937146e-01
4.45000000e-01 3.60091169e-01
4.55000000e-01 3.67677711e-01
4.65000000e-01 3.75293079e-01
4.75000000e-01 3.83761923e-01
4.85000000e-01 3.91376972e-01
4.95000000e-01 4.00007731e-01
5.05000000e-01 4.07531155e-01
5.15000000e-01 4.17371633e-01
5.25000000e-01 4.24905937e-01
