# time  R_support(t)
0.00000000e+00 1.99666667e+00
5.00000000e-03 2.00333333e+00
1.50000000e-02 2.00333333e+00
2.50000000e-02 2.00333333e+00
3.50000000e-02 2.00333333e+00
4.50000000e-02 2.00333333e+00
5.50000000e-02 2.01666667e+00
6.50000000e-02 2.01666667e+00
7.50000000e-02 2.01666667e+00
8.50000000e-02 2.01666667e+00
9.50000000e-02 2.01666667e+00
1.05000000e-01 2.01666667e+00
1.15000000e-01 2.01666667e+00
1.25000000e-01 2.01666667e+00
1.35000000e-01 2.01666667e+00
1.45000000e-01 2.01666667e+00
1.55000000e-01 2.01666667e+00
1.65000000e-01 2.01666667e+00
1.75000000e-01 2.01666667e+00
1.85000000e-01 2.01666667e+00
1.95000000e-01 2.01666667e+00
2.05000000e-01 2.02000000e+00
2.15000000e-01 2.02000000e+00
2.25000000e-01 2.02333333e+00
2.35000000e-01 2.02333333e+00
2.45000000e-01 2.01333333e+00
2.55000000e-01 2.02333333e+00
2.65000000e-01 2.03333333e+00
2.75000000e-01 2.04333333e+00
2.85000000e-01 2.05333333e+00
2.95000000e-01 2.06333333e+00
3.05000000e-01 2.07333333e+00
3.15000000e-01 2.09000000e+00
3.25000000e-01 2.10000000e+00
3.35000000e-01 2.11000000e+00
3.45000000e-01 2.12000000e+00
3.55000000e-01 2.13000000e+00
3.65000000e-01 2.14000000e+00
3.75000000e-01 2.15000000e+00
3.85000000e-01 2.17000000e+00
3.95000000e-01 2.18000000e+00
4.05000000e-01 2.19000000e+00
4.15000000e-01 2.20333333e+00
4.25000000e-01 2.22000000e+00
4.35000000e-01 2.23000000e+00
4.45000000e-01 2.25000000e+00
4.55000000e-01 2.26000000e+00
4.65000000e-01 2.27666667e+00
4.75000000e-01 2.29000000e+00
4.85000000e-01 2.30666667e+00
4.95000000e-01 2.32000000e+00
5.05000000e-01 2.33333333e+00
5.15000000e-01 2.36000000e+00
5.25000000e-01 2.38000000e+00
