# time  G0_ode  DG_ode  PDE_offset  PDE_gradient
0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
5.00000000e-03 1.28503270e+01 4.92430431e+01 1.28503270e+01 2.46626259e+01
1.50000000e-02 1.27519494e+01 5.00104231e+01 1.25881572e+01 2.49636055e+01
2.50000000e-02 1.24421891e+01 5.02483593e+01 1.21067433e+01 2.50823757e+01
3.50000000e-02 1.21106597e+01 5.04716017e+01 1.15942046e+01 2.51938112e+01
4.50000000e-02 1.17481841e+01 5.06727442e+01 1.10379141e+01 2.52942151e+01
5.50000000e-02 1.13438458e+01 5.08421658e+01 1.04228964e+01 2.53787849e+01
6.50000000e-02 1.12658370e+01 5.20294157e+01 1.00973299e+01 2.57997103e+01
7.50000000e-02 1.07513704e+01 5.21086887e+01 9.32761184e+00 2.58390192e+01
8.50000000e-02 1.01979759e+01 5.21467854e+01 8.50427796e+00 2.58579101e+01
9.50000000e-02 9.60674665e+00 5.21408667e+01 7.62936240e+00 2.58549752e+01
1.05000000e-01 8.97556734e+00 5.20851133e+01 6.70060534e+00 2.58273289e+01
1.15000000e-01 8.30481976e+00 5.19753097e+01 5.71933582e+00 2.57728809e+01
1.25000000e-01 7.60457799e+00 5.18162406e+01 4.70023914e+00 2.56940036e+01
1.35000000e-01 6.89670370e+00 5.16260167e+01 3.67390852e+00 2.55996777e+01
1.45000000e-01 6.20636357e+00 5.14300352e+01 2.67492229e+00 2.55024968e+01
1.55000000e-01 5.55119119e+00 5.12499549e+01 1.72703924e+00 2.54132008e+01
1.65000000e-01 4.93866358e+00 5.10989350e+01 8.39871660e-01 2.53383149e+01
1.75000000e-01 4.36954305e+00 5.09833758e+01 1.38026587e-02 2.52810128e+01
1.85000000e-01 3.84158160e+00 5.09059875e+01 -7.54863719e-01 2.52426384e+01
1.95000000e-01 3.35165300e+00 5.08678801e+01 -1.47097328e+00 2.52237422e+01
2.05000000e-01 2.89670545e+00 5.08696603e+01 -2.13922942e+00 2.52246249e+01
2.15000000e-01 2.54932824e+00 5.11664071e+01 -2.70594320e+00 2.53299045e+01
2.25000000e-01 2.15323974e+00 5.12459803e+01 -3.29532391e+00 2.53692972e+01
2.35000000e-01 1.85622308e+00 5.16175380e+01 -3.79649982e+00 2.55111390e+01
2.45000000e-01 1.36608197e+00 5.12697683e+01 -4.42516518e+00 2.54230256e+01
2.55000000e-01 1.12277182e+00 5.17315639e+01 -4.85728830e+00 2.56096851e+01
2.65000000e-01 1.02184754e+00 5.27111267e+01 -5.19148779e+00 2.59660723e+01
2.75000000e-01 9.18477340e-01 5.36993209e+01 -5.53439369e+00 2.63231965e+01
2.85000000e-01 8.15855687e-01 5.47005372e+01 -5.88209396e+00 2.66831889e+01
2.95000000e-01 7.13047344e-01 5.57130157e+01 -6.23589694e+00 2.70451533e+01
3.05000000e-01 6.03093580e-01 5.67250367e+01 -6.60451031e+00 2.74033994e+01
3.15000000e-01 6.81435879e-01 5.83135646e+01 -6.83767099e+00 2.79457977e+01
3.25000000e-01 5.64946309e-01 5.93301993e+01 -7.22927544e+00 2.82973923e+01
3.35000000e-01 4.55266660e-01 6.03658299e+01 -7.61871506e+00 2.86546661e+01
3.45000000e-01 3.49497037e-01 6.14151689e+01 -8.00972717e+00 2.90150404e+01
3.55000000e-01 2.49376856e-01 6.24808082e+01 -8.40042439e+00 2.93796904e+01
3.65000000e-01 1.53162050e-01 6.35589911e+01 -8.79308141e+00 2.97467977e+01
3.75000000e-01 5.35162896e-02 6.46347911e+01 -9.19641410e+00 3.01093748e+01
3.85000000e-01 5.87336821e-02 6.59888984e+01 -9.53336829e+00 3.05504159e+01
3.95000000e-01 7.59940380e-02 6.73531188e+01 -9.86601137e+00 3.09906988e+01
4.05000000e-01 -1.32672483e-02 6.84373625e+01 -1.02799258e+01 3.13453569e+01
4.15000000e-01 1.58521587e-01 7.01220177e+01 -1.05054937e+01 3.18736444e+01
4.25000000e-01 4.95866049e-02 7.11329826e+01 -1.09565815e+01 3.21868699e+01
4.35000000e-01 1.00380031e-01 7.24733582e+01 -1.12865343e+01 3.25967128e+01
4.45000000e-01 3.62944125e-02 7.35415937e+01 -1.17011006e+01 3.29290718e+01
4.55000000e-01 6.19171243e-01 7.58725948e+01 -1.16198335e+01 3.36215339e+01
4.65000000e-01 7.74988527e-01 7.72800338e+01 -1.18649948e+01 3.40440678e+01
4.75000000e-01 1.08080743e+00 7.88632869e+01 -1.20062162e+01 3.44883179e+01
4.85000000e-01 1.05126031e+00 7.97826959e+01 -1.24101582e+01 3.47384743e+01
4.95000000e-01 1.65239271e+00 8.17040514e+01 -1.23053987e+01 3.52679359e+01
5.05000000e-01 1.92611539e+00 8.30118759e+01 -1.24539141e+01 3.56274146e+01
5.15000000e-01 2.64192159e+00 8.48148274e+01 -1.22434911e+01 3.60914159e+01
5.25000000e-01 2.91097787e+00 8.57481612e+01 -1.23925455e+01 3.62827198e+01
