# time  R_moment(t)
0.00000000e+00 2.01399352e+00
5.00000000e-03 2.00860664e+00
1.50000000e-02 1.99818933e+00
2.50000000e-02 1.98900388e+00
3.50000000e-02 1.98157221e+00
4.50000000e-02 1.97702661e+00
5.50000000e-02 1.97778420e+00
6.50000000e-02 1.98404963e+00
7.50000000e-02 1.99708999e+00
8.50000000e-02 2.01609358e+00
9.50000000e-02 2.04045564e+00
1.05000000e-01 2.06983845e+00
1.15000000e-01 2.10376571e+00
1.25000000e-01 2.14112534e+00
1.35000000e-01 2.18015959e+00
1.45000000e-01 2.21909086e+00
1.55000000e-01 2.25667830e+00
1.65000000e-01 2.29226613e+00
1.75000000e-01 2.32557825e+00
1.85000000e-01 2.35653126e+00
1.95000000e-01 2.38512583e+00
2.05000000e-01 2.41158055e+00
2.15000000e-01 2.43581299e+00
2.25000000e-01 2.45777750e+00
2.35000000e-01 2.47779064e+00
2.45000000e-01 2.49545508e+00
2.55000000e-01 2.51208273e+00
2.65000000e-01 2.52915992e+00
2.75000000e-01 2.54651069e+00
2.85000000e-01 2.56396447e+00
2.95000000e-01 2.58193302e+00
3.05000000e-01 2.60065021e+00
3.15000000e-01 2.62033783e+00
3.25000000e-01 2.64002092e+00
3.35000000e-01 2.65974821e+00
3.45000000e-01 2.67954317e+00
3.55000000e-01 2.69935722e+00
3.65000000e-01 2.71950696e+00
3.75000000e-01 2.74084175e+00
3.85000000e-01 2.76351089e+00
3.95000000e-01 2.78564576e+00
4.05000000e-01 2.80812131e+00
4.15000000e-01 2.83245515e+00
4.25000000e-01 2.85725108e+00
4.35000000e-01 2.88219268e+00
4.45000000e-01 2.90725121e+00
4.55000000e-01 2.93329303e+00
4.65000000e-01 2.95933127e+00
4.75000000e-01 2.98974806e+00
4.85000000e-01 3.01600094e+00
4.95000000e-01 3.04724669e+00
5.05000000e-01 3.07385022e+00
5.15000000e-01 3.11048619e+00
5.25000000e-01 3.13647955e+00
