# time  cumulative_dissipation
0.00000000e+00 0.00000000e+00
5.00000000e-03 5.94205669e-02
1.50000000e-02 1.88993802e-01
2.50000000e-02 3.36353571e-01
3.50000000e-02 5.11373165e-01
4.50000000e-02 7.20461136e-01
5.50000000e-02 9.53007306e-01
6.50000000e-02 1.19998986e+00
7.50000000e-02 1.42840009e+00
8.50000000e-02 1.64230018e+00
9.50000000e-02 1.85374739e+00
1.05000000e-01 2.07353797e+00
1.15000000e-01 2.30518381e+00
1.25000000e-01 2.54347761e+00
1.35000000e-01 2.78508000e+00
1.45000000e-01 3.04787116e+00
1.55000000e-01 3.38067593e+00
1.65000000e-01 3.85359047e+00
1.75000000e-01 4.53953079e+00
1.85000000e-01 5.50197934e+00
1.95000000e-01 6.79589238e+00
2.05000000e-01 8.48315042e+00
2.15000000e-01 1.06722703e+01
2.25000000e-01 1.35550929e+01
2.35000000e-01 1.75747189e+01
2.45000000e-01 2.38810041e+01
2.55000000e-01 3.50868512e+01
2.65000000e-01 5.68644132e+01
2.75000000e-01 1.04314187e+02
2.85000000e-01 2.23779869e+02
2.95000000e-01 5.76048292e+02
3.05000000e-01 1.69148931e+03
3.15000000e-01 4.88754444e+03
3.25000000e-01 1.33770009e+04
3.35000000e-01 3.35572093e+04
3.45000000e-01 7.68300349e+04
3.55000000e-01 1.61453257e+05
3.65000000e-01 3.15688624e+05
3.75000000e-01 5.84414951e+05
3.85000000e-01 1.03323940e+06
3.95000000e-01 1.73994349e+06
4.05000000e-01 2.78949460e+06
4.15000000e-01 4.29992100e+06
4.25000000e-01 6.38315113e+06
4.35000000e-01 9.12494145e+06
4.45000000e-01 1.25124964e+07
4.55000000e-01 1.66803313e+07
4.65000000e-01 2.14301859e+07
4.75000000e-01 2.66553580e+07
4.85000000e-01 3.21282003e+07
4.95000000e-01 3.77330621e+07
5.05000000e-01 4.33255139e+07
5.15000000e-01 4.87632195e+07
5.25000000e-01 5.41568932e+07
